Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
00:00.0,4.5802,0.0901,8.1782,9.3819
30:00.0,4.5802,0.1023,8.0554,9.3831
00:00.0,4.5802,0.0999,8.1172,9.5465
30:00.0,4.5802,0.1092,8.1131,9.5209
00:00.0,4.5798,0.1153,8.1139,9.604
30:00.0,4.5802,0.0922,8.1208,9.5828
00:00.0,3.9776,0.0963,8.106,9.6116
30:00.0,3.9776,0.1008,8.087,9.5041
00:00.0,3.9784,0.1099,8.0716,9.5564
30:00.0,3.9772,0.1062,8.0713,9.556
00:00.0,3.9772,0.0912,8.0843,9.5828
30:00.0,3.9776,0.0909,8.1071,9.4434
00:00.0,3.9776,0.1131,8.1211,9.4698
30:00.0,3.9772,0.0981,8.1255,9.5481
00:00.0,4.6897,0.1015,8.1249,9.4374
30:00.0,4.6905,0.1084,8.1296,9.4662
00:00.0,4.6905,0.0966,8.1345,9.4378
30:00.0,4.6905,0.0926,8.1395,9.4386
00:00.0,4.6901,0.099,8.1436,9.465
30:00.0,4.6905,0.1055,8.1439,9.4885
00:00.0,4.6905,0.0943,8.1483,9.4622
30:00.0,4.6905,0.1061,8.1398,9.5972
00:00.0,4.1213,0.0967,8.1351,9.4678
30:00.0,4.1205,0.0936,8.131,9.469
00:00.0,4.1201,0.0962,8.14,9.4957
30:00.0,4.1201,0.1106,8.1541,9.4382
00:00.0,4.1197,0.1025,8.1678,9.5712
30:00.0,4.1197,0.0889,8.1727,9.4622
00:00.0,4.1201,0.0935,8.1821,9.594
30:00.0,4.1193,0.1092,8.1912,9.5932
00:00.0,3.6286,0.1094,8.1958,9.5405
30:00.0,3.6294,0.0951,8.2049,9.5125
00:00.0,3.6286,0.086,8.2145,9.5093
30:00.0,3.629,0.0874,8.2241,9.5928
00:00.0,3.6286,0.0948,8.2189,9.4841
30:00.0,3.6286,0.1029,8.2239,9.4841
00:00.0,3.629,0.0862,8.2283,9.5652
30:00.0,3.629,0.1044,8.2332,9.5093
00:00.0,2.9871,0.1065,8.2428,9.4837
30:00.0,2.9879,0.1088,8.2522,9.4817
00:00.0,2.9879,0.1079,8.2615,9.6164
30:00.0,2.9879,0.1087,8.2566,9.4802
00:00.0,2.6404,0.0902,8.2566,9.6415
30:00.0,2.6404,0.0893,8.2475,9.5868
00:00.0,2.6416,0.1087,8.2392,9.5624
30:00.0,2.6412,0.1079,8.2305,9.592
00:00.0,3.8673,0.0881,8.2162,9.6467
30:00.0,3.8681,0.0907,8.2733,9.5149
00:00.0,3.8673,0.0883,8.0315,10.4552
30:00.0,3.8673,0.0991,8.1502,9.626
00:00.0,3.8673,0.0899,8.1455,9.735
30:00.0,3.8677,0.1134,8.1411,9.7865
00:00.0,3.8677,0.1085,8.1472,9.7366
30:00.0,3.8673,0.0925,8.1535,9.8205
00:00.0,3.6926,0.1148,8.1444,9.7474
30:00.0,3.6922,0.0934,8.1117,9.852
00:00.0,3.6922,0.0961,8.0867,9.8512
30:00.0,3.6926,0.1078,8.0716,9.8265
00:00.0,3.6934,0.1026,8.0851,9.8492
30:00.0,3.6934,0.1022,8.1123,9.872
00:00.0,3.6937,0.1083,8.1505,9.8441
30:00.0,3.6937,0.0926,8.17,9.8684
00:00.0,3.7805,0.102,8.1881,9.8736
30:00.0,3.7801,0.0969,8.2068,9.7718
00:00.0,3.7809,0.1123,8.2208,9.8249
30:00.0,3.7805,0.102,8.2162,9.9028
00:00.0,3.7801,0.1118,8.2063,9.9303
30:00.0,3.7801,0.0899,8.2019,9.8277
00:00.0,3.7805,0.0927,8.2013,9.9048
30:00.0,3.7809,0.1079,8.1969,9.9072
00:00.0,3.9152,0.1125,8.1969,9.9064
30:00.0,3.9159,0.1116,8.1975,9.8728
00:00.0,3.9152,0.1127,8.2068,9.8712
30:00.0,3.9159,0.0999,8.2162,9.7885
00:00.0,3.9159,0.1117,8.2302,9.866
30:00.0,3.9163,0.0894,8.25,9.8892
00:00.0,3.9163,0.0946,8.2588,9.8612
30:00.0,3.9163,0.1027,8.2637,9.8936
00:00.0,4.3988,0.0993,8.2681,9.862
30:00.0,4.3992,0.101,8.2687,9.8321
00:00.0,4.3996,0.0866,8.2678,9.8325
30:00.0,4.3992,0.104,8.2687,9.8333
00:00.0,4.4,0.0906,8.2684,9.8061
30:00.0,4.4004,0.1041,8.2777,9.8057
00:00.0,4.4,0.0976,8.2967,9.8329
30:00.0,4.3996,0.096,8.3063,9.7274
00:00.0,4.4145,0.1047,8.3203,9.7278
30:00.0,4.4153,0.089,8.3299,9.7773
00:00.0,4.4149,0.1044,8.3385,9.8868
30:00.0,4.4141,0.1077,8.3398,9.7598
00:00.0,4.3439,0.1075,8.32,9.8936
30:00.0,4.3439,0.0923,8.2972,9.7506
00:00.0,4.3439,0.0897,8.2733,9.8049
30:00.0,4.3439,0.0965,8.259,9.6208
00:00.0,4.2485,0.0904,8.245,9.7558
30:00.0,4.2489,0.1028,8.2316,9.6279
00:00.0,4.2493,0.1106,8.228,9.6307
30:00.0,4.2485,0.1135,8.2178,9.7402
